School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.733573645,1.508017665,1,0.9920973199952922,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.905524962,1.827948683,1,0.9920556704947955,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,1.613000283,1.627925319,1,0.9917985308065599,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,1.613000283,1.627925319,1,0.9917985308065599,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.613000283,1.627925319,1,0.9917985308065599,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.761028219,0.698377725,1,0.9915620086780742,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.263581677,-0.659436474,1,0.9915004462712571,0
7,8,41,30.0,1.0,6,21,2,1,19.05,0.0,1.661858499,1.527627326,1,0.9912751137343981,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,1.442685739,1.697616274,1,0.9911514005387948,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.627338345,1.552451475,1,0.9910732554439029,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.68103666,1.432968885,1,0.9906544506595545,0
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,0.104883993,1.663416196,1,0.9902227568290833,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.364891332,1.679301719,1,0.9901437452529827,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.406798611,1.65827964,1,0.990111190200828,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.410784076,1.652135511,1,0.9900325140746875,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,1.699940461,1.30526459,1,0.9900093661243323,0
6,4,32,30.0,1.0,5,23,1,2,26.09,26.09,1.574720283,1.508017665,1,0.9897560923986921,0
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,1.700513904,1.262883119,1,0.9897551974025588,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,1.700345214,1.23224982,1,0.9895780220104222,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,1.089880934,1.722066963,1,0.9894146240575894,0
6,2,30,30.0,1.0,4,23,1,2,8.7,13.04,1.716194027,0.90381176,1,0.9894125837174754,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.686440038,1.230454395,1,0.9892410507289204,0
