School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.705366796,0.972764044,1.4855859704,1,0.9967578115248851,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.410784076,1.652135511,1.4831895065,1,0.9967304287069823,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.406798611,1.65827964,1.4822429197,1,0.996719548971229,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.661858499,1.048818761,1.4779465776,1,0.9966697107499739,0
6,2,30,30.0,1.0,4,23,1,2,8.7,13.04,1.716194027,0.90381176,1.4724793468999997,1,0.9966051920136438,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,1.674837246,0.964716126,1.46180091,1,0.9964755434122184,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,1.436762233,1.514164162,1.4599828116999998,1,0.9964529807626012,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.364891332,1.679301719,1.4592144481,1,0.996443401924541,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,1.215927242,1.4549044665,1,0.9963891892209203,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,2.088059178,1.4544778785999999,1,0.9963837786291209,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.761028219,0.698377725,1.4422330707999997,1,0.9962249636958009,0
3,2,13,,,4,22,1,1,40.9,13.64,1.527764062,1.234727789,1.4398531800999999,1,0.9961932954599033,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.506459555,1.259217988,1.4322870849,1,0.9960908390407704,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.409209455,1.432968885,1.416337284,1,0.9958657221207687,0
9,3,51,20.0,0.0,4,24,2,1,29.17,4.17,1.522378794,1.164792256,1.4151028326,1,0.9958477673480658,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.364891332,1.507798564,1.4077635015999999,1,0.9957393960685093,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.817252151,0.450839361,1.407328314,1,0.9957328819977872,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,1.408724109,1.380386872,1.4002229379,1,0.9956251051088761,0
3,2,13,,,4,22,1,2,40.9,13.64,1.411463684,1.369203093,1.3987855067000001,1,0.9956029726131083,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,1.573036185,0.98141795,1.3955507145000001,1,0.99555275513793,0
4,3,20,,,4,22,1,1,13.64,13.64,1.626551349,0.7914185,1.3760114943,1,0.9952369892710504,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,1.162402032,1.865489609,1.3733283050999998,1,0.9951919107735618,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.382571671,1.337224369,1.3689674803999998,1,0.9951177354555758,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,1.599970862,0.820504934,1.3661310835999998,1,0.9950688767641499,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,1.129391197,1.914511512,1.3649272915,1,0.9950479932018979,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.227032207,1.683036204,1.3638334061,1,0.9950289396362283,0
8,7,48,40.0,2.0,6,20,1,1,20.0,20.0,1.47458852,1.059214982,1.3499764585999998,1,0.9947811348767792,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.415866921,1.180806285,1.3453487302,1,0.9946956560323874,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,1.244469325,1.579812135,1.345072168,1,0.9946905035581617,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,1.54116396,0.860886861,1.3370808303,1,0.9945394412446558,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,1.537947304,0.860995204,1.3348616739999999,1,0.9944967351009694,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,0.790044096,1.3271395227,1,0.9943455093218625,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1.3193681671,1,0.9941891278837006,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1.3193681671,1,0.9941891278837006,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.179936302,1.641325516,1.3183530661999998,1,0.994168384680468,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.367967119,1.198930588,1.3172561596999999,1,0.9941458866475221,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.415186629,1.073966193,1.3128204981999998,1,0.9940540216090562,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.41604037,1.06922244,1.311994991,1,0.9940367666294139,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,1.3075946232999998,1,0.9939439415220419,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,1.3075946232999998,1,0.9939439415220419,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,1.747670653,0.2586159,1.3009542270999999,1,0.9938011241374383,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,1.208133787,1.509489662,1.2985405495,1,0.9937483829763005,0
6,1,29,40.0,2.0,3,23,1,2,8.7,26.08,1.208133787,1.509489662,1.2985405495,1,0.9937483829763005,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,1.774823935,0.17813696,1.2958178425,1,0.9936883512228604,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.459879335,0.90381176,1.2930590624999998,1,0.9936269370040441,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,0.691321979,1.2926362093,1,0.9936174711219758,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.170577527,1.562980094,1.2882982970999999,1,0.9935195493861946,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.23202463,1.413357648,1.2864245354,1,0.9934767895712735,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1.2844963427999998,1,0.9934324935592949,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1.2844963427999998,1,0.9934324935592949,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.418606065,0.969969062,1.2840149641,1,0.9934213881759822,0
2,4,9,40.0,2.0,5,20,2,1,5.0,70.0,1.627338345,0.481795285,1.2836754270000001,1,0.9934135437992642,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.496346723,0.783080813,1.2823669500000001,1,0.9933832264357658,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,1.442685739,0.90298738,1.2807762313,1,0.9933461818720266,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,1.089880934,1.722066963,1.2795367427,1,0.9933171732953716,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,0.94724995,2.042862196,1.2759336237999999,1,0.9932321283189405,0
7,1,34,30.0,1.0,3,23,2,1,8.7,4.35,1.705366796,0.262491885,1.2725043227000001,1,0.9931501829633379,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.557936332,0.605877851,1.2723187877,1,0.9931457213570483,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.373288572,1.012909369,1.2651748111,1,0.9929717047968736,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,1.738755233,0.146673312,1.2611306567,1,0.9928712483688943,0
9,1,49,30.0,1.0,3,21,1,2,9.52,19.05,1.537947304,0.609871603,1.2595245937,1,0.9928309576340372,0
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,0.943955933,1.991992235,1.2583668235999999,1,0.9928017722271766,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.346620689,1.037205866,1.2537962421,1,0.9926853935047425,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,0.96223045,1.917939806,1.2489432567999998,1,0.9925597690815131,0
8,4,45,30.0,1.0,4,18,2,1,16.67,11.11,1.062012055,1.677456483,1.2466453834000002,1,0.9924995378950248,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.196090046,1.362691022,1.2460703387999998,1,0.992484389074726,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.257013559,1.180806285,1.2341513767999999,1,0.9921634376721049,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,1.650074142,0.21683696,1.2201029873999998,1,0.9917675597396907,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,1.053048944,1.596150748,1.2159794851999999,1,0.9916476217429426,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.367967119,0.846303945,1.2114681668,1,0.9915144082879898,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.166018445,1.311532687,1.2096727176,1,0.9914608039796422,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.263581677,1.07158427,1.2059824549,1,0.9913495672379491,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.171387762,1.276282829,1.2028562821,1,0.9912542054913079,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.418606065,0.698377725,1.202537563,1,0.991244424558825,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,1.48432281,0.540450563,1.2011611359,1,0.9912020591380174,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,1.130913332,1.35788829,1.1990058194,1,0.9911353095500449,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,0.982572271,1.678025822,1.1912083363,1,0.990889583240059,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.905524962,1.827948683,1.1822520783,1,0.9905989610367376,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,0.963083378,1.691777608,1.181691647,1,0.9905804717833415,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,1.089603145,1.382249806,1.1773971433,1,0.9904375848444514,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,1.000261387,1.56150596,1.1686347589,1,0.9901393176080783,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.912669294,1.1645765425999999,1,0.9899980592569245,0
4,3,20,,,4,22,1,1,13.64,13.64,1.016594593,1.461080308,1.1499403075,1,0.9894716761260809,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,1.65827964,1.1455731667,1,0.989309343920288,0
5,2,22,40.0,2.0,3,19,1,1,21.05,21.06,1.022652076,1.416726628,1.1408744415999998,1,0.9891319069122362,0
5,2,22,40.0,2.0,3,19,2,1,21.05,21.06,1.022652076,1.416726628,1.1408744415999998,1,0.9891319069122362,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.137382251,1.137029659,1.1372764734,1,0.988994061527514,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,1.141093471,1.124502754,1.1361162559,1,0.9889492418702478,0
8,5,46,30.0,1.0,5,22,2,1,22.73,9.09,1.041666916,1.352649606,1.134961723,1,0.9889044617807429,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.001468649,1.432968885,1.1309187198,1,0.9887462226507997,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.030816632,1.360087728,1.1295979608,1,0.988694045169147,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,1.257669535,0.81279283,1.1242065234999998,1,0.9884785484072025,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.145640701,1.06922244,1.1227152227,1,0.988418223848902,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.035036971,1.323359453,1.1215337155999998,1,0.988370208123564,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,0.931002123,1.551695402,1.1172101067,1,0.9881928079533117,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,1.204018336,0.913333675,1.1168129377,1,0.9881763777507597,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,0.92966968,1.514164162,1.1050180246,1,0.9876779596902835,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,1.158298656,0.964716126,1.1002238969999998,1,0.987469463719042,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.903603073,1.548354508,1.0970285035,1,0.9873285562747409,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,0.887083965,1.0941853146999998,1,0.9872018591180266,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1.0898754756,1,0.9870074058385854,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1.0898754756,1,0.9870074058385854,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.034574989,1.216842322,1.0892551889,1,0.9869791793077582,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,1.310510728,1.0866920650999998,1,0.9868618965504534,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,0.439025056,2.542119316,1.069953334,1,0.9860697965622222,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.098832778,0.982163789,1.0638320813,1,0.9857684641900715,0
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,2.06271852,-1.293768152,1.0557725184,1,0.9853618486200814,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,0.982572271,1.223334954,1.0548010759,1,0.9853120677751614,0
9,6,54,30.0,1.0,6,21,1,1,38.1,9.52,0.982572271,1.223334954,1.0548010759,1,0.9853120677751614,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.705433951,1.05254568,1,0.9851958445512244,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,1.272536792,0.536310822,1.0516690009999998,1,0.9851504229545653,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.227032207,0.617627965,1.0442109344,1,0.9847583937611514,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,1.089603145,0.92149987,1.0391721624999999,1,0.9844877548390577,0
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,1.124533388,0.828120078,1.0356093949999998,1,0.9842935306705467,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.696826574,1.0342520211,1,0.9842189024772281,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.049916409,0.993289102,1.0329282168999998,1,0.9841457822408997,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.263581677,0.494577356,1.0328803807,1,0.9841431337497335,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,1.124502754,1.0308896728999999,1,0.9840325278020285,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,1.010440867,1.06922244,1.0280753389,1,0.9838748577822074,0
