School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,33.348301164,26.754876396000004,1.4855859704,1,0.9967578115248852,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,30.697056684,32.869219599,1.4831895065,1,0.9967304287069824,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,30.661187499,32.92451676,1.4822429197,1,0.996719548971229,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,32.956726491,27.439368848999997,1.4779465776,1,0.996669710749974,0
6,2,30,30.0,1.0,4,23,1,2,8.7,13.04,33.445746243,26.13430584,1.4724793468999997,1,0.9966051920136438,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,33.073535214,26.682445134,1.46180091,1,0.9964755434122184,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,30.930860097,31.627477458,1.4599828116999998,1,0.9964529807626012,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,30.284021988000003,33.113715471000006,1.4592144481,1,0.996443401924541,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,32.015909493,28.943345178,1.4549044665,1,0.9963891892209203,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,28.646487324,36.792532602,1.4544778786,1,0.9963837786291208,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,33.849253970999996,24.285399525000003,1.4422330707999995,1,0.9962249636958008,0
3,2,13,,,4,22,1,1,40.9,13.64,31.749876557999997,29.112550100999997,1.4398531801,1,0.9961932954599032,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,31.558135995,29.332961892,1.4322870849,1,0.9960908390407704,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,30.682885095000003,30.896719965,1.416337284,1,0.9958657221207688,0
9,3,51,20.0,0.0,4,24,2,1,29.17,4.17,31.701409146000003,28.483130303999996,1.4151028326,1,0.9958477673480658,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,30.284021988000003,31.570187076000003,1.4077635016,1,0.9957393960685093,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,34.355269359,22.057554249,1.407328314,1,0.9957328819977872,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,30.678516981,30.423481848,1.4002229379,1,0.995625105108876,0
3,2,13,,,4,22,1,2,40.9,13.64,30.703173156,30.322827837,1.3987855067,1,0.9956029726131084,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,32.157325665,26.832761549999997,1.3955507145,1,0.99555275513793,0
4,3,20,,,4,22,1,1,13.64,13.64,32.638962141,25.1227665,1.3760114943,1,0.9952369892710504,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,28.461618287999997,34.789406481,1.3733283050999998,1,0.9951919107735618,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,30.443145038999997,30.035019321,1.3689674803999998,1,0.9951177354555758,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,32.399737758,25.384544406,1.3661310835999998,1,0.99506887676415,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,28.164520773,35.230603608,1.3649272915,1,0.995047993201898,0
