Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
4,1,1,10.53,78.95,3.2,2.8
4,1,2,10.53,78.95,3.2,2.8
4,1,2,10.53,78.95,6,5.6
4,1,2,10.53,78.95,2.4,2.6
4,1,2,10.53,78.95,6,5.8
4,1,2,10.53,78.95,2.8,3.6
4,2,2,10.53,78.95,2.2,2.4
5,1,2,5,70,3.4,2.4
5,1,2,5,70,3.2,2.2
5,1,1,5,70,3.8,3.2
5,1,2,5,70,3.4,2.8
5,2,1,5,70,5.2,4
5,1,2,5,70,3.2,2.8
5,1,2,5,70,4.2,3.2
5,1,2,5,70,4.2,3.2
5,1,1,5,70,4.4,3.6
5,1,1,5,70,4.2,3.4
5,1,1,5,70,4.6,4
5,1,2,5,70,5,4.6
5,1,2,5,70,4.2,4.4
5,1,1,5,70,4.2,4.4
5,1,2,5,70,4.2,4
5,1,2,5,70,5.2,4.8
5,1,2,5,70,5,4.6
5,1,2,5,70,4,3.8
5,1,2,5,70,3.2,3.4
5,1,2,5,70,4.2,4
6,1,1,15.79,42.1,4.2,2.8
6,1,1,15.79,42.1,5.8,4.8
6,1,1,15.79,42.1,5,4.8
6,2,1,15.79,42.1,1.2,2.2
6,1,1,15.79,42.1,4,3.8
6,1,1,15.79,42.1,4.2,3.4
6,1,2,15.79,42.1,2.4,2.6
6,1,2,15.79,42.1,3.6,3
6,1,1,15.79,42.1,4.4,4.2
6,1,2,15.79,42.1,3,2.6
6,1,2,15.79,42.1,4.6,3.8
6,2,1,15.79,42.1,4.4,5
6,1,2,15.79,42.1,2.4,3
6,1,1,15.79,42.1,2.4,3.6
6,1,2,15.79,42.1,3,2.6
6,2,1,15.79,42.1,4,4.2
6,1,2,15.79,42.1,4.8,4.4
6,1,1,15.79,42.1,3.2,3.6
6,1,2,15.79,42.1,3.6,5
6,1,2,15,20,4.4,3
6,1,1,15,20,5.4,4
6,1,1,15,20,5.4,4.6
6,1,1,15,20,5,5.2
6,2,1,15,20,2.8,2.4
6,1,1,15,20,3.2,2.2
6,1,1,15,20,3.8,3.2
6,1,1,15,20,4.2,4.4
6,2,1,15,20,5.4,4.2
6,1,2,15,20,4.2,2.6
6,1,2,15,20,4.4,3.4
6,1,1,15,20,3.2,2.4
6,1,1,15,20,4.4,4.6
6,1,1,15,20,5,4.4
6,1,1,15,20,3,2
6,1,1,15,20,3.8,3.8
6,2,1,15,20,4,3.6
6,1,1,15,20,4.2,3.6
6,1,1,15,20,6,6
6,1,2,15,20,3.6,3
3,2,1,20,10,1.6,1.8
3,1,1,20,10,4.8,3.6
3,1,1,20,10,1.2,2
3,1,1,20,10,1.6,1.6
3,1,2,20,10,2.2,3.4
3,1,1,20,10,2.4,2.8
3,1,1,20,10,1.8,2.6
3,1,1,20,10,3.8,3.2
3,1,1,20,10,3.8,3.6
3,1,1,20,10,4.8,4.4
3,1,1,20,10,4.6,4.8
3,2,1,20,10,2.4,2.2
3,1,1,20,10,2.4,2.4
3,2,1,20,10,3.6,3.4
3,1,1,20,10,1,1
3,1,1,20,10,2.2,2.2
3,2,1,20,10,2,1.8
3,1,1,20,10,3.8,3.6
3,1,1,20,10,3.6,4
3,1,2,20,10,4.2,3.6
4,2,1,40.9,13.64,1,1
4,1,1,40.9,13.64,2,2
4,1,1,40.9,13.64,5.2,4.4
4,1,1,40.9,13.64,5.2,3.8
4,1,1,40.9,13.64,3,3.2
4,2,2,40.9,13.64,1.6,1.8
4,1,1,40.9,13.64,4.4,4.8
4,2,1,40.9,13.64,1.8,1
4,2,2,40.9,13.64,1.4,1.8
4,1,1,40.9,13.64,1,1.6
4,1,1,40.9,13.64,6,5.2
4,1,1,40.9,13.64,2.8,4.2
4,1,1,40.9,13.64,5.8,5.2
4,1,1,40.9,13.64,2.6,4
4,2,1,40.9,13.64,4.6,4.6
4,1,1,40.9,13.64,1.6,3.4
4,2,1,40.9,13.64,3.2,4.2
4,2,1,40.9,13.64,3.8,4.2
4,1,2,40.9,13.64,5.6,5.4
4,2,1,40.9,13.64,1.6,2.4
4,1,1,40.9,13.64,4.4,4.6
4,2,1,40.9,13.64,1.2,1.2
5,1,1,26.09,4.3,3,3.2
5,2,1,26.09,4.3,1,1
5,1,1,26.09,4.3,3.8,4.2
5,1,1,26.09,4.3,4.2,5.4
5,1,1,26.09,4.3,3.4,5
5,1,1,26.09,4.3,2.8,4.4
5,1,1,26.09,4.3,5.6,5.4
5,1,2,26.09,4.3,6,1.4
5,1,1,26.09,4.3,3,5
5,2,1,26.09,4.3,1,1
5,1,1,26.09,4.3,5.8,5.6
5,1,1,26.09,4.3,2.4,2.8
5,1,1,26.09,4.3,3,3.6
5,2,1,26.09,4.3,4,4.8
5,2,1,26.09,4.3,3.2,4.4
5,1,1,26.09,4.3,3.6,3.6
5,2,1,26.09,4.3,5.2,5.8
5,1,1,26.09,4.3,5.8,5
5,1,1,26.09,4.3,3.6,4
5,1,1,26.09,4.3,3.2,3.8
5,2,1,26.09,4.3,2.2,2.8
5,1,1,26.09,4.3,2.6,2.8
5,1,1,26.09,4.3,4.6,4.4
5,1,1,35,5,3.2,3.6
5,1,1,35,5,2.4,2.8
5,1,1,35,5,3,3.2
5,2,1,35,5,3.2,3.4
5,1,1,35,5,3,3
5,2,1,35,5,1.6,2.2
5,2,1,35,5,3.8,4
5,1,1,35,5,2.2,2.8
5,2,1,35,5,1.2,2
5,2,1,35,5,3.2,3.2
5,2,1,35,5,1,2
5,1,1,35,5,1.2,2.2
5,1,1,35,5,2.8,2.4
5,1,1,35,5,2.6,3.2
5,1,1,35,5,4,4.4
5,1,1,35,5,2.4,2.8
5,1,1,35,5,2.2,3
5,2,1,35,5,3,4.4
5,1,2,35,5,2.8,3.2
5,1,1,35,5,3.4,2.8
5,1,1,18.18,4.55,1.8,2.4
5,1,1,18.18,4.55,3.6,4.2
5,1,1,18.18,4.55,5,4
5,1,1,18.18,4.55,1.8,2.4
5,1,1,18.18,4.55,4.2,4.6
5,1,1,18.18,4.55,1.2,2.4
5,1,1,18.18,4.55,4.8,5
5,1,1,18.18,4.55,5,5
5,1,1,18.18,4.55,4.6,4.6
5,1,1,18.18,4.55,3.2,3.8
5,1,1,18.18,4.55,2.2,2.8
5,2,1,18.18,4.55,1,1
5,1,2,18.18,4.55,4.8,4.4
5,1,1,18.18,4.55,4.8,5.2
5,1,1,18.18,4.55,4.8,4.6
5,1,1,18.18,4.55,3.4,3.4
5,2,1,18.18,4.55,2.4,3
5,1,1,18.18,4.55,4.8,4.6
5,1,1,18.18,4.55,3.4,4.4
5,1,1,18.18,4.55,3.4,3.6
5,2,1,18.18,4.55,2.2,3.6
5,2,1,18.18,4.55,4.2,4.4
4,1,1,9.1,9.09,5,2.4
4,1,1,9.1,9.09,1.2,1.4
4,2,1,9.1,9.09,2.8,4.4
4,1,1,9.1,9.09,3.8,4.2
4,1,1,9.1,9.09,2.4,1.6
4,1,1,9.1,9.09,3.2,2.2
4,1,1,9.1,9.09,3.6,4
4,1,1,9.1,9.09,1.4,1.6
