School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,-0.39694244930482925,-0.06557663435522021
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.006202225770387939,0.27870069600968905
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.39694244930482925,-0.06557663435522021
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.03577170365479,0.4508393611921439
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,0.514784738942201,1.3115326871044173
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.5579363318979556,0.6058778508823695
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.0593967056906095,-0.9649165773311805
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.8196696356568123,1.2341956221677892
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.7727364206213864,-0.02243992040305063
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.5359300981728965,0.29171896523965923
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-0.14333014253461168,-0.3365988060457605
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.165336376259671,0.29171896523965923
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.1902633575700379,-0.3365988060457605
1,4,4,40.0,2.0,5,21,1,2,33.33,4.76,-0.27419679441404005,-1.2790754629738905
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.7727364206213864,0.6058778508823695
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.6667967500523246,-1.4361549057952454
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.0593967056906095,-0.17951936322440573
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-1.1902633575700379,-0.4936782488671156
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.7727364206213864,1.7054339506318539
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-0.01246349065518331,-0.02243992040305063
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.9036030725008142,1.5483545078104988
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-1.4519966613288944,-1.9073932342593105
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.7727364206213864,1.5483545078104988
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.797663401931753,-0.8078371345098254
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.797663401931753,-0.4936782488671156
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.641869768741958,0.44879840806101434
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.6810366600998736,1.4329688847933983
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.0014686485701372,-0.19469685934692949
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.4092094554879795,1.4329688847933983
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.08584016987744064,-0.04672724624326315
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.9013217837131242,-0.34266647245059545
1,5,5,30.0,1.0,5,20,1,2,36.84,5.2,-0.7654081814071769,-1.0825145379689265
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.3219006370404012,0.8410904323787338
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.4449761929369134,-1.8223626034872578
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.4449761929369134,-1.0825145379689265
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.0014686485701372,1.4329688847933983
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.1373822508760847,1.1370296585860664
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.3576673744893351,-0.34266647245059545
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.3576673744893351,-0.6386056986579282
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.8655550462641904,1.1370296585860664
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.22175377218338804,-0.19469685934692949
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.08584016987744064,-0.34266647245059545
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-1.0372353860190715,-0.9345449248652604
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.309062590630966,-0.9345449248652604
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,0.5937278416522956,0.5451512061714018
