School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
5,5,25,40,2,5,22,1,2,18.18,9.09,1.644102809,1.151785428,1.496407595,1,0.99687863,0,4.341423564,4.149167068
7,1,34,30,1,3,23,1,1,8.7,4.35,1.705366796,0.972764044,1.48558597,1,0.996757812,0,4.401877697,3.950954634
7,3,36,30,1,4,22,1,1,27.27,9.1,1.410784076,1.652135511,1.483189507,1,0.996730429,0,4.111189091,4.70315456
1,1,1,40,2,6,20,1,1,5,10,1.406798611,1.65827964,1.48224292,1,0.996719549,0,4.10725631,4.709957338
7,8,41,30,1,6,21,1,1,19.05,0,1.661858499,1.048818761,1.477946578,1,0.996669711,0,4.35894454,4.035162398
6,2,30,30,1,4,23,1,2,8.7,13.04,1.716194027,0.90381176,1.472479347,1,0.996605192,0,4.412561802,3.874610681
7,7,40,20,0,6,22,1,1,22.73,4.55,1.674837246,0.964716126,1.46180091,1,0.996475543,0,4.37175172,3.942043981
9,5,53,30,1,5,20,1,1,5,20,1.436762233,1.514164162,1.459982812,1,0.996452981,0,4.136823841,4.550392715
9,3,51,20,0,4,24,1,1,29.17,4.17,1.364891332,1.679301719,1.459214448,1,0.996443402,0,4.065903007,4.733232979
3,3,14,20,0,5,23,1,1,26.09,4.3,1.557323277,1.215927242,1.454904467,1,0.996389189,0,4.255791178,4.220184869
4,2,19,30,1,4,22,1,1,22.73,9.09,1.182943036,2.088059178,1.454477879,1,0.996383779,0,3.886359901,5.18580914
7,4,37,30,1,4,21,1,1,23.8,0,1.761028219,0.698377725,1.442233071,1,0.996224964,0,4.456803327,3.647154167
3,2,13,,,4,22,1,1,40.9,13.64,1.527764062,1.234727789,1.43985318,1,0.996193295,0,4.226622709,4.24100083
6,3,31,20,0,5,22,1,1,13.64,4.55,1.506459555,1.259217988,1.432287085,1,0.996090839,0,4.205599828,4.268116372
1,5,5,30,1,5,20,1,1,36.84,5.2,1.409209455,1.432968885,1.416337284,1,0.995865722,0,4.109635285,4.460493324
9,3,51,20,0,4,24,2,1,29.17,4.17,1.522378794,1.164792256,1.415102833,1,0.995847767,0,4.221308629,4.163568224
9,3,51,20,0,4,24,1,1,29.17,4.17,1.364891332,1.507798564,1.407763502,1,0.995739396,0,4.065903007,4.543344727
1,3,3,20,0,6,21,1,1,19.05,9.52,1.817252151,0.450839361,1.407328314,1,0.995732882,0,4.51228403,3.373079749
3,4,15,30,1,5,20,2,1,35,5,1.408724109,1.380386872,1.400222938,1,0.995625105,0,4.109156355,4.402274532
3,2,13,,,4,22,1,2,40.9,13.64,1.411463684,1.369203093,1.398785507,1,0.995602973,0,4.111859715,4.389891854
5,4,24,20,0,4,19,1,1,5.26,0,1.573036185,0.98141795,1.395550715,1,0.995552755,0,4.271296375,3.960536236
4,3,20,,,4,22,1,1,13.64,13.64,1.626551349,0.7914185,1.376011494,1,0.995236989,0,4.324104118,3.750168891
9,1,49,30,1,3,21,1,1,9.52,19.05,1.162402032,1.865489609,1.373328305,1,0.995191911,0,3.86609043,4.939380167
9,4,52,20,0,4,25,1,1,16,16,1.382571671,1.337224369,1.36896748,1,0.995117735,0,4.083349628,4.354485019
9,2,50,20,0,3,20,1,1,15,15,1.599970862,0.820504934,1.366131084,1,0.995068877,0,4.297875001,3.782373384
9,2,50,20,0,3,20,1,1,15,15,1.129391197,1.914511512,1.364927292,1,0.995047993,0,3.833515968,4.993657206
7,1,34,30,1,3,23,1,1,8.7,4.35,1.227032207,1.683036204,1.363833406,1,0.99502894,0,3.929866254,4.7373678
8,7,48,40,2,6,20,1,1,20,20,1.47458852,1.059214982,1.349976459,1,0.994781135,0,4.174150099,4.046673092
6,4,32,30,1,5,23,1,1,26.09,26.09,1.415866921,1.180806285,1.34534873,1,0.994695656,0,4.116204745,4.181298953
8,5,46,30,1,5,22,1,1,22.73,9.09,1.244469325,1.579812135,1.345072168,1,0.994690504,0,3.947072869,4.623078136
8,3,44,30,1,4,22,1,1,27.27,18.18,1.54116396,0.860886861,1.33708083,1,0.994539441,0,4.239845472,3.827084243
9,1,49,30,1,3,21,1,1,9.52,19.05,1.537947304,0.860995204,1.334861674,1,0.994496735,0,4.236671337,3.827204201
3,3,14,20,0,5,23,1,1,26.09,4.3,1.557323277,0.790044096,1.327139523,1,0.994345509,0,4.255791178,3.748647151
4,2,19,30,1,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1.319368167,1,0.994189128,0,3.886359901,4.687164339
4,2,19,30,1,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1.319368167,1,0.994189128,0,3.886359901,4.687164339
6,3,31,20,0,5,22,1,1,13.64,4.55,1.179936302,1.641325516,1.318353066,1,0.994168385,0,3.883392913,4.691185736
6,5,33,40,2,6,20,1,1,10,15,1.367967119,1.198930588,1.31725616,1,0.994145887,0,4.068938135,4.201366177
3,3,14,20,0,5,23,1,1,26.09,4.3,1.415186629,1.073966193,1.312820498,1,0.994054022,0,4.115533446,4.063005629
2,2,7,40,2,3,19,1,1,5.26,63.15,1.41604037,1.06922244,1.311994991,1,0.994036767,0,4.116375902,4.057753347
2,4,9,40,2,5,20,1,2,5,70,1.317369136,1.284787427,1.307594623,1,0.993943942,0,4.019009011,4.296426849
2,4,9,40,2,5,20,1,2,5,70,1.317369136,1.284787427,1.307594623,1,0.993943942,0,4.019009011,4.296426849
9,6,55,20,0,6,20,1,1,30,5,1.747670653,0.2586159,1.300954227,1,0.993801124,0,4.443622336,3.160249979
